MESSAGE,LABEL
"Я выаела деньги,а они не пришли",7
Вернуться к боту,11
Здравствуйте!Когда можно будет вывести пета?,4
ПОЧЕМУ БОТА НЕТ НА СЕРВЕРЕ ВЫ УЖЕ ДОСТАЛИ ПОЧЕНИТЕ ВЫ УЖЕ САЙТ!!!!!!!!!!!!!,5
"Здравствуйте, не получается пополнить 44455е55ер через сбер.",6
"Здравствуйте, меня как обычно послали кцда подальше, мне сказали что проблема будет решена в ближайшее время, но она не решилась",3
Здравствуйте,1
"Здравствуйте, сколько еще будут длиться тех.работы?",4
"Почему находит бота,но закидывает на пустой сервер?",5
Можете сейчас исправить ошибку?,3
"здравствуйте, КОГДА ЖЕ ЗАРАБОТАЮТ БОТЫ???",4
"Здравствуйте, что вот это такое",9
"Почему когда я хочу вывести петов, у меня проходит 19 минут, а до сих пор никого нет?",4
У меня залогало время на бота и он не одает пета,4
"Здравствуйте! Можете пожалуйста мне подсказать, что делать если мне не выдаёт бота?",4
"Здравствуйте, у меня не выводиться питомец. Я не знаю что делать.",4
а блин 16 долго,1
Извините я вас не понял. Попробуйте обратиться к оператору. 21:52 Я жду своего пета с 2 часов дня уже 10 часов вечера..,4
Не получилось связатся с ботом,4
"Здраствуйте, сегодня я купил за свои деньги нфр свинью но её нет у бота, свинка",9
"Здравствуйте, можно ли узнать о проверке?",3
Здравствуйте здравствуйте,1
Здравствуйте как можно пополнить баланс если VISA карта не работает а других карт нету(,6
Здраствуйтк,1
"здравствуйте, не могу вывести деньги с вашего сайта, заявка на вывод принимается, но потом ошибка",7
"Здравствуйте, я вывела деньги на свою карточку, хотела задать вопрос , через сколько эти деньги придут?",7
Здравствуйте почему бот так долго ищется гдето 20 минут?,4
Здравствуйте,1
здравствуйте я не могу вывести петов уже 2 недели мне пишет бот с вашими вещами на тех работах,4
Здравствуйте,1
"здравствуйте это опять я,у меня все еще не решена проблема,как долго придеться ждать?",3
Я хотел узнать когда я смогу вывести своих петов,4
Здравствуйте,1
Здравствуйте я пытаюсь вывести петов но мне не могут назначить бота я мону ждать хоть весь день бот не назначается,4
Хорошо.....,1
"Здравствуйте,у меня не получается вывести средства",7
Я хочу вывести петомцев 4 дня мне пишет что боты на тех перерывах но когда я вывожу плохих петов они выводятся можете исправить?,4
Здравствуйте Я уже 7 минут жду бота,4
Alisa.2014,9
"Здравствуйте, у меня идёт поиск бота уже 82 минуту, посмотрев в чате, у других так же имеется такая проблема",4
извините за беспокойство но я все ище не могу вывести питомца,4
Здравствуйте почему нельзя пополнять баланс картой VISA?,6
Здравствуйте,1
"Здравствуйте, почему в вк говорят что ваши боты починены если это неправда? Сейчас мне говорят что тех работы.",4
Здравствуйте вчера купил Мега Фроста за 6600 и бот не работает нельзя сейчас этого бота у которого он починить,4
Здравствуйте  че мне так долго бота ищут,4
Здравствуйте. У вас идут тех. работы?,4
Включите мне бота,5
Здраствуйте сайт не работает месяц!!!,3
Здрасте,1
"я жду уже 2-3 часа,вы так и не решили проблему! прошу вас либо отклоните запрос,либо назначте мне бота уже!!",4
"Здравствуйте,выплаты на карту работают как положено? Сбоев нет?",9
Здравствуйте деньги не приходят Уже более 2 недель,7
Почему не работают боты,4
"Здравствуйте, когда закончатся тех работы?",4
Когда вы почините сайт?,3
Здравствуйте когда сайт починят?хочу купить Мега Фроста 2019,3
"мои петы не выводятся,пишет что мой бот с вещами на тех. поддержке",4
Здравствуйте когда вы почините ботов?,4
"здравствуйте, хочу вывести пета , пишет что не получается и сразу ищет бота , вывести не получается , что делать ?",4
Можете пожалуйста починить. Бота у которого сейчас мой Фрост который у меня в инвентаре на сайт мне вчера пообщеали,4
Фрост не выводятся 72 часа!!,4
не удаётся зайти на сервер.,5
"Здравствуйте, смогк ли я сегодня пополнть инвегьарь сайта?",9
"Здравствуйте, почему мне выдают ботов которрых нету на сервере?",5
"здравствуйте, а почему долгое время сервера не работают, то щас ботов даже на серверах нету, я уже 3раза перезашёл, а ботов нету, а щас даже бота нельзя найти, это всё и за санкции??",5
Здравствуйте Можете пожалуйста подсказать что делать если у меня не получается создать встречу с Ботом,4
"Здравствуйте, почему мне выдают ботов которрых нету на сервере?",5
Вернуться назад,11
"Здравствуйте, не получается оплатить покупку.",7
"Здравствуйте, у меня не получается оплатить покупку через сбер",6
Я отправила как вы сказали по ссылке фото с вывода средств,9
Здравствуйте,1
КОГДА ЗАКОНЧАТЬСЯ УЖЕ ДОЛБАННЫЕ ТЕХ.РАБОТЫ? Я ЗАДОЛБАЛСЯ УЖЕ!! СТОЛЬКО ДЕНЕГ В ВАС ВЛИВАЮ НА ПЕТОВ И НИКАК ВЫВЕСТИ НЕ МОГУ? (,4
"Добрый вечер! я уже месяц не могу вивести петомцев, что происходит?",5
доогое назначение для вывода предметов,4
"Добрый день, хотелось спросить. Что делать у меня бесконечный поиск бота, что происходит?",4
Вернуться назад,11
Здравствуйте.  Почепу бота ищут. И выдают. А когда захожишь бота нету на сервере?,5
Добрий день я хочу закинути петів в інвентарь я захожу в ігру і там нема бота што це з ботами???,5
"Здравствуйте, у меня не получается вывести питомца. Что делать?",4
Здрастуйте,1
Почему нех,1
не получаеться вывести пета,4
"Здравствуйте, почему в инсташраме не вышел пост который должег был выйти в 13 часов по московскому времени",11
Почему я жду бота для пополнения уже 20 минут?,4
Здрастуйте,1
"Я ЖДУ УЖЕ 1 ЧАС БОТ ТАК И НЕ НАЗНАЧЕН,Я ДАЖЕ ОТМЕНИТЬ НЕ МОГУ,ИСПРАВЬТЕ ЭТО!!!!",4
Здравствуйте,1
Здравствуйте,1
"Когда починят ботов ,?????",4
Сайт починили угодал,3
"здравствуйте,я хочу вывести петов,жду уже 18 минут,бот так и не назначен.исправьте пожалуйста!",4
Помогите,1
Не могу вывести пета 3 недели,4
"Здравствуйте, что делать если долго не могу вывести питомца (бот просто не отдаёт пета)",4
Почему некоторые питомцы недоступены для продажи?,9
"Здравствуйте! Я выводил деньги 26.02.2022, прошло уже больше недели, но деньги так и не поступили. Можете посмотреть почему они еще не были выплачены?",7
"День Добрый, возникает очень частая у меня проблема, отстутсвие ботов на сервере, уже 10 раз пытался за последние два дня найти бота, но так и не удалось",5
почему я не5 могу вывести своё новогоднее яйцо,4
"Здравствуйте,ботом GNYdr6 какая то ошибка",9
не могу вывести пета,5
Здрасте,1
здравствуйте,1
Привет,1
Не пишет что бот с моими вещами на тех обслуживаний а мне нужны эти петы срочно чтобы сделать ргб бока,4
Здравствуйте почему я вчера в 11 часов выводил пета все было как обычно я зашёл на сервер и дал боту запрос на торговлю и он не принимает трейды у него стоит отключения всех трейдов почему это так произошло?,4
когда починят ботов,4
"Здравствуйте, сегодня утром можно было вывести и пополнить инвентарь, но час назад пишет что опять тех работы",4
Почему я не могу вывести поэтов работа работали у меня прикидываться к ним на сервер скажите почему,5
Извините случайно нажала,9
"Здравствуйте,сейчас я пытался пополнить инвентарь на сайте, захожу значит на сервер,а бота нет,на сервере какой-то человек,но не бот.",5
"Здравствуйте, почему у меня не может загрузиться бот",4
